Customer,Preference1,Preference2,Preference3,Preference4,Preference5,Preference6,Preference7,Preference8,Preference9,Preference10,Customer Type
38,#420,#008,#705,#1238,#143,#043,#647,#303,#326,#1287,1
39,#732,#1270,#1227,#316,#1007,#1083,#634,#1283,#951,#1235,2
40,#1105,#1296,#1074,#419,#857,#976,#064,#342,#029,#558,2
41,#423,#192,#1244,#1242,#082,#1056,#653,#932,#1176,#678,1
42,#960,#266,#126,#929,#850,#627,#389,#1300,#356,#842,1
43,#1278,#952,#056,#965,#493,#712,#084,#1216,#764,#301,1
44,#528,#1029,#1272,#095,#149,#355,#548,#1147,#872,#1047,4
45,#895,#1072,#578,#1168,#834,#415,#698,#998,#140,#471,1
46,#583,#087,#436,#342,#469,#1292,#1250,#272,#655,#401,1
47,#1182,#1007,#1236,#963,#1075,#630,#1026,#909,#312,#206,2
48,#148,#1214,#469,#1028,#969,#498,#577,#366,#1255,#129,3
49,#941,#533,#1021,#1057,#112,#267,#938,#650,#060,#667,1
50,#792,#357,#093,#540,#185,#1011,#1071,#1092,#1113,#736,6
51,#310,#031,#026,#946,#901,#059,#226,#1183,#489,#914,1
52,#947,#242,#005,#1209,#289,#956,#607,#199,#313,#950,2
53,#589,#786,#723,#381,#1211,#1054,#210,#908,#364,#1178,2
54,#493,#557,#509,#229,#818,#563,#007,#577,#762,#774,3
55,#894,#1152,#230,#1030,#021,#606,#267,#504,#795,#567,3
56,#975,#606,#810,#908,#1080,#1247,#1052,#747,#1184,#1129,2
57,#1143,#849,#322,#1136,#943,#071,#1006,#405,#355,#220,2
58,#394,#251,#881,#468,#1182,#902,#1099,#692,#378,#148,2
59,#385,#888,#554,#1149,#318,#263,#052,#580,#040,#1290,3
60,#468,#179,#236,#789,#1221,#352,#1113,#705,#662,#1043,2
61,#562,#771,#299,#586,#662,#867,#946,#775,#250,#450,1
62,#297,#160,#805,#958,#778,#1102,#184,#632,#939,#328,2
63,#1213,#725,#544,#1050,#1014,#625,#414,#257,#640,#557,1
64,#387,#403,#523,#583,#1200,#890,#776,#259,#830,#843,5
65,#817,#1079,#1195,#1065,#1001,#239,#896,#823,#921,#607,3
66,#980,#279,#782,#721,#325,#1097,#1010,#1301,#192,#1170,4
67,#1116,#184,#334,#641,#124,#1221,#911,#300,#600,#050,3
68,#132,#1251,#879,#897,#059,#632,#399,#566,#1123,#645,2
69,#906,#354,#456,#754,#1101,#891,#045,#653,#1178,#750,2
70,#640,#1025,#1049,#979,#670,#1266,#084,#1232,#767,#1202,2
71,#1010,#335,#039,#1226,#1005,#1164,#521,#037,#183,#440,1
72,#264,#300,#1149,#349,#891,#282,#416,#546,#626,#1188,2
73,#516,#494,#181,#049,#525,#944,#612,#375,#898,#511,1
74,#949,#282,#1223,#068,#1138,#331,#1242,#211,#1245,#220,2
75,#1303,#857,#944,#353,#934,#1089,#738,#300,#956,#373,1
76,#171,#1197,#908,#722,#1200,#848,#125,#061,#621,#723,1
77,#329,#479,#222,#811,#735,#713,#692,#1034,#287,#1262,2
78,#744,#889,#442,#603,#029,#418,#141,#496,#276,#009,2
79,#325,#1260,#540,#572,#582,#144,#140,#639,#974,#150,3
80,#263,#1216,#735,#429,#1017,#129,#1068,#061,#101,#292,5
81,#414,#129,#222,#730,#097,#536,#826,#1169,#525,#984,2
82,#598,#537,#298,#701,#801,#819,#366,#832,#833,#1241,4
83,#098,#374,#570,#724,#267,#660,#551,#1251,#857,#698,2
84,#1229,#810,#368,#1092,#712,#262,#579,#1210,#072,#631,2
85,#617,#505,#405,#769,#701,#1024,#265,#745,#915,#152,4
86,#873,#760,#513,#1260,#1180,#228,#1132,#044,#201,#874,1
87,#395,#311,#375,#235,#317,#969,#309,#1254,#1088,#081,2
88,#171,#1187,#807,#610,#799,#1236,#301,#1225,#986,#628,4
89,#008,#1124,#1169,#550,#218,#490,#879,#535,#1131,#094,1
90,#190,#247,#1160,#180,#1102,#907,#811,#750,#711,#350,3
91,#013,#933,#1111,#233,#1058,#1015,#1205,#1272,#572,#688,6
92,#632,#1234,#060,#1123,#171,#1110,#678,#155,#960,#184,3
93,#810,#1041,#742,#743,#386,#564,#748,#827,#163,#274,2
94,#488,#128,#083,#392,#324,#013,#1241,#724,#795,#515,2
95,#1148,#1247,#692,#780,#479,#905,#705,#765,#1211,#611,1
96,#693,#056,#1266,#677,#328,#1044,#552,#961,#588,#031,4
97,#582,#679,#129,#251,#068,#187,#1088,#174,#462,#116,2
98,#1271,#201,#129,#234,#213,#669,#291,#342,#1006,#643,3
99,#764,#879,#390,#320,#242,#133,#244,#1032,#421,#684,4
100,#174,#221,#411,#304,#886,#050,#002,#160,#1074,#1154,3
101,#887,#1058,#013,#974,#358,#680,#1138,#463,#842,#625,2
102,#136,#596,#355,#865,#1000,#1276,#836,#1140,#972,#1017,1
103,#1279,#995,#406,#044,#354,#1004,#241,#228,#315,#1218,6
104,#174,#012,#614,#951,#800,#414,#1196,#574,#1252,#734,4
105,#920,#1199,#763,#1228,#582,#1072,#946,#1180,#1131,#614,2
106,#166,#177,#363,#365,#688,#763,#674,#983,#1105,#263,4
107,#402,#1281,#640,#1196,#480,#105,#1301,#1197,#1098,#227,3
108,#997,#756,#837,#714,#1021,#526,#1051,#959,#697,#932,3
109,#438,#456,#954,#258,#388,#617,#606,#119,#179,#1116,1
110,#148,#761,#225,#1026,#094,#859,#430,#211,#070,#034,2
111,#1151,#759,#649,#353,#1159,#411,#256,#101,#389,#752,2
112,#349,#645,#552,#1020,#1085,#012,#036,#388,#1014,#1110,2
113,#707,#1267,#643,#1080,#660,#1263,#022,#026,#657,#532,4
114,#866,#967,#755,#145,#937,#764,#351,#596,#279,#1257,1
115,#1231,#1105,#214,#925,#1039,#781,#179,#1228,#470,#573,1
116,#1277,#339,#558,#722,#1267,#1302,#568,#918,#263,#085,1
117,#840,#590,#776,#065,#390,#093,#232,#1137,#1068,#1252,1
118,#527,#1012,#684,#085,#1180,#964,#025,#1204,#1171,#419,1
119,#474,#674,#1023,#151,#652,#024,#105,#447,#252,#097,1
120,#631,#821,#1297,#001,#127,#699,#793,#700,#225,#1302,4
121,#998,#530,#555,#632,#495,#706,#533,#537,#370,#177,4
122,#477,#609,#1081,#397,#1197,#302,#603,#227,#252,#1071,2
123,#021,#1301,#093,#259,#376,#1143,#832,#1121,#925,#266,1
124,#614,#454,#272,#561,#389,#753,#1212,#396,#200,#549,1
125,#074,#412,#783,#109,#1145,#545,#413,#189,#910,#1239,5
126,#083,#907,#392,#185,#334,#1296,#190,#1120,#256,#662,3
127,#965,#807,#1026,#929,#1283,#980,#686,#945,#580,#1205,2
128,#623,#592,#096,#984,#1275,#873,#812,#217,#1290,#338,1
129,#375,#218,#212,#854,#1168,#966,#1117,#1258,#851,#430,1
130,#523,#1143,#101,#871,#227,#1219,#1015,#161,#162,#403,1
131,#052,#1019,#397,#281,#1223,#387,#1039,#580,#920,#1232,2
132,#1173,#469,#542,#1044,#151,#1111,#1214,#1186,#719,#386,1
133,#362,#383,#569,#310,#135,#300,#792,#541,#194,#291,2
134,#647,#222,#060,#095,#805,#602,#878,#711,#324,#1092,3
135,#937,#834,#1302,#933,#1115,#242,#262,#130,#1041,#411,4
136,#973,#370,#1091,#1294,#033,#313,#1047,#133,#1243,#160,3
137,#1125,#879,#140,#791,#284,#417,#925,#881,#576,#128,4
138,#453,#759,#836,#147,#168,#698,#523,#224,#769,#201,1
139,#1079,#781,#264,#957,#746,#311,#1030,#994,#1273,#993,2
140,#024,#889,#390,#1219,#1173,#632,#604,#381,#221,#507,1
141,#237,#402,#1087,#521,#809,#1193,#1083,#985,#539,#337,2
142,#769,#026,#710,#738,#733,#496,#789,#234,#843,#807,1
143,#221,#941,#1040,#697,#855,#853,#684,#032,#426,#519,1
144,#610,#537,#547,#200,#1129,#070,#963,#712,#626,#320,1
145,#970,#730,#330,#449,#675,#637,#1054,#460,#629,#230,3
146,#533,#111,#997,#1014,#1046,#125,#1099,#854,#881,#1038,2
147,#396,#1246,#1196,#931,#1128,#1102,#070,#006,#1092,#920,4
148,#188,#465,#879,#713,#631,#453,#214,#091,#297,#061,3
149,#082,#1172,#348,#670,#612,#833,#1204,#1300,#682,#1210,2
150,#094,#839,#453,#404,#805,#875,#990,#1143,#098,#385,1
151,#533,#474,#974,#123,#020,#275,#1284,#121,#383,#180,3
152,#703,#032,#998,#984,#125,#1145,#1096,#942,#1301,#330,2
153,#138,#1158,#1140,#237,#331,#541,#557,#679,#885,#1107,2
154,#714,#1114,#950,#464,#656,#930,#480,#491,#605,#1021,2
155,#802,#257,#180,#436,#028,#724,#060,#031,#550,#1141,5
156,#504,#897,#175,#1058,#669,#906,#238,#295,#1176,#1280,1
157,#814,#340,#444,#629,#974,#1303,#182,#1060,#464,#1102,2
158,#154,#1110,#257,#638,#1282,#670,#1161,#688,#850,#1131,2
159,#1266,#1259,#818,#1140,#085,#205,#300,#283,#265,#527,1
160,#927,#299,#517,#729,#1086,#637,#815,#452,#915,#140,1
161,#282,#1244,#649,#796,#426,#122,#189,#181,#1070,#829,3
162,#721,#1000,#1260,#794,#1132,#042,#590,#338,#105,#1017,4
163,#679,#113,#886,#312,#561,#198,#397,#106,#389,#224,2
164,#478,#733,#212,#533,#883,#766,#1179,#929,#490,#023,1
165,#1081,#632,#005,#1008,#741,#892,#701,#1026,#981,#505,3
166,#186,#631,#045,#615,#1070,#1170,#485,#1189,#445,#563,5
167,#592,#286,#771,#918,#167,#517,#552,#512,#107,#159,3
168,#887,#1285,#607,#1030,#898,#596,#885,#403,#653,#673,4
169,#480,#311,#288,#380,#043,#1143,#013,#501,#1087,#461,3
170,#1244,#1021,#997,#1069,#1151,#349,#894,#1028,#1161,#366,3
171,#681,#211,#1228,#979,#1197,#1134,#1267,#1269,#589,#833,2
172,#954,#245,#626,#1303,#1194,#975,#877,#519,#066,#632,3
173,#639,#289,#1195,#1062,#871,#1123,#660,#453,#483,#877,3
174,#863,#195,#1058,#084,#985,#500,#501,#005,#038,#979,4
175,#584,#1143,#377,#895,#038,#138,#093,#446,#062,#766,1
176,#1014,#166,#804,#603,#044,#893,#609,#362,#1222,#276,4
177,#824,#833,#169,#543,#288,#945,#043,#918,#1200,#129,1
178,#1022,#557,#350,#526,#465,#1098,#1173,#1094,#1191,#517,1
179,#154,#321,#1058,#1031,#1008,#1237,#979,#901,#374,#798,4
180,#1295,#703,#299,#1163,#787,#069,#574,#796,#907,#1048,3
181,#306,#250,#128,#1141,#213,#401,#1298,#805,#519,#577,2
182,#1153,#708,#835,#385,#1045,#947,#1040,#1009,#1100,#633,1
183,#376,#1085,#1077,#514,#1265,#050,#456,#389,#436,#075,4
184,#142,#1083,#080,#020,#202,#855,#645,#900,#123,#650,3
185,#713,#205,#1099,#164,#1071,#284,#160,#732,#1175,#1116,4
186,#953,#021,#1123,#246,#721,#067,#1069,#133,#061,#114,3
187,#314,#740,#373,#236,#662,#1141,#841,#580,#860,#1016,3
188,#1227,#1122,#1243,#907,#965,#301,#644,#1017,#562,#896,1
189,#442,#366,#802,#466,#1237,#1283,#725,#799,#396,#700,3
190,#485,#1079,#727,#685,#745,#208,#508,#538,#526,#789,1
191,#758,#960,#415,#807,#1091,#1257,#843,#1208,#094,#976,1
192,#323,#619,#1111,#1201,#213,#804,#1268,#538,#780,#662,3
193,#280,#043,#731,#244,#1193,#724,#435,#890,#861,#496,3
194,#1138,#502,#1222,#558,#039,#174,#513,#1024,#796,#1000,1
195,#393,#295,#459,#784,#1171,#906,#1036,#244,#1011,#093,4
196,#902,#377,#983,#1131,#1276,#1235,#778,#784,#731,#031,2
197,#702,#105,#1010,#261,#452,#778,#793,#682,#361,#1213,1
198,#583,#1241,#531,#237,#386,#649,#1049,#003,#669,#082,2
199,#399,#869,#718,#625,#968,#801,#977,#1023,#023,#194,1
200,#253,#201,#888,#595,#210,#409,#815,#163,#841,#913,1
201,#102,#1281,#170,#211,#747,#767,#317,#040,#738,#808,2
202,#066,#1232,#160,#970,#470,#1262,#007,#984,#1292,#1198,9
203,#662,#634,#250,#005,#951,#525,#1290,#734,#410,#860,2
204,#941,#329,#774,#488,#537,#1041,#761,#456,#527,#905,2
205,#965,#1143,#1058,#204,#1168,#495,#694,#078,#766,#1115,2
206,#1059,#050,#543,#548,#1097,#897,#1232,#310,#344,#1238,5
207,#979,#290,#779,#1034,#1020,#016,#093,#1183,#677,#418,2
208,#582,#321,#255,#082,#1001,#1171,#632,#963,#1262,#829,2
209,#063,#1248,#129,#1242,#670,#532,#078,#882,#1165,#240,3
210,#839,#1069,#174,#288,#1039,#782,#126,#085,#186,#938,6
211,#902,#986,#1010,#750,#877,#876,#081,#581,#1113,#488,2
212,#1252,#993,#634,#302,#946,#743,#398,#484,#297,#285,4
213,#1184,#034,#496,#441,#273,#488,#149,#083,#1169,#210,1
214,#649,#211,#943,#157,#345,#101,#385,#170,#1052,#136,1
215,#206,#387,#1154,#948,#877,#313,#827,#422,#101,#1012,3
216,#654,#457,#362,#128,#1252,#760,#425,#960,#390,#1116,2
217,#1018,#039,#421,#714,#1045,#218,#1283,#552,#1171,#816,5
218,#907,#126,#940,#945,#565,#1116,#752,#478,#759,#408,2
219,#245,#725,#366,#606,#835,#460,#1274,#522,#780,#875,2
220,#021,#507,#044,#1134,#646,#911,#639,#333,#052,#718,2
221,#414,#404,#571,#509,#310,#253,#770,#1004,#050,#1056,2
222,#1201,#906,#1293,#1038,#926,#372,#1043,#373,#052,#1210,2
223,#767,#748,#1116,#1031,#775,#1047,#514,#075,#256,#812,1
224,#977,#1162,#257,#205,#398,#393,#302,#564,#339,#785,7
225,#1211,#657,#967,#1084,#033,#889,#956,#1159,#224,#1133,5
226,#753,#1053,#765,#949,#475,#1258,#876,#907,#233,#375,2
227,#514,#352,#747,#385,#725,#1020,#510,#950,#1168,#327,3
228,#019,#347,#819,#353,#218,#548,#339,#191,#1280,#095,5
229,#619,#1079,#950,#956,#592,#973,#505,#201,#052,#743,3
230,#1050,#1280,#702,#467,#679,#479,#695,#099,#1095,#968,3
231,#002,#1280,#555,#519,#039,#616,#244,#591,#963,#1192,8
232,#026,#086,#196,#593,#083,#422,#905,#1272,#058,#1267,4
233,#128,#511,#1089,#463,#093,#217,#1253,#947,#414,#791,2
234,#1282,#088,#727,#415,#447,#056,#1284,#792,#050,#304,1
235,#193,#564,#736,#182,#263,#1248,#410,#504,#725,#477,2
236,#1232,#992,#302,#551,#709,#129,#985,#434,#1085,#833,1
237,#021,#911,#880,#092,#520,#1036,#1087,#692,#603,#732,1
238,#506,#832,#871,#603,#179,#945,#337,#234,#673,#487,3
239,#604,#560,#1229,#097,#507,#063,#066,#1226,#198,#094,2
240,#637,#744,#436,#808,#1056,#786,#811,#1118,#1239,#1010,4
241,#393,#198,#1144,#984,#965,#922,#664,#1229,#1275,#895,1
242,#786,#697,#1075,#1291,#802,#606,#255,#917,#839,#418,2
243,#711,#623,#196,#565,#1271,#181,#1288,#994,#500,#551,3
244,#568,#1191,#101,#696,#1277,#497,#334,#884,#901,#638,6
245,#639,#037,#207,#080,#683,#589,#193,#890,#332,#615,2
246,#1154,#887,#357,#1301,#143,#269,#747,#741,#799,#1048,3
247,#583,#1132,#018,#554,#848,#513,#763,#553,#883,#1259,3
248,#977,#886,#477,#234,#292,#066,#528,#1263,#826,#1182,3
249,#1179,#702,#207,#751,#670,#881,#485,#052,#060,#1161,3
250,#1181,#058,#133,#797,#1130,#845,#602,#1133,#1259,#393,2
251,#331,#538,#619,#772,#624,#153,#386,#1289,#106,#976,1
252,#1053,#631,#329,#474,#1096,#804,#917,#269,#504,#826,1
253,#346,#679,#355,#924,#969,#245,#680,#1012,#280,#566,1
254,#287,#919,#440,#522,#1125,#1001,#209,#976,#676,#539,3
255,#622,#351,#125,#198,#908,#123,#649,#403,#388,#688,1
256,#1262,#1129,#276,#326,#736,#683,#1251,#1183,#634,#406,1
257,#352,#971,#161,#552,#354,#373,#501,#105,#592,#1302,3
258,#1107,#104,#195,#460,#090,#972,#144,#1201,#692,#283,2
259,#584,#1127,#557,#245,#225,#524,#1114,#671,#459,#889,2
260,#819,#1134,#379,#195,#102,#129,#610,#260,#771,#1219,1
261,#369,#630,#100,#856,#123,#402,#1054,#1078,#1242,#278,3
262,#110,#265,#913,#591,#040,#964,#658,#109,#152,#994,2
263,#548,#357,#1152,#1083,#701,#186,#970,#493,#918,#471,2
264,#143,#965,#761,#1060,#1134,#1115,#961,#138,#1212,#1109,4
265,#775,#1225,#879,#420,#914,#763,#706,#487,#1159,#236,4
266,#947,#752,#649,#483,#429,#1191,#1234,#758,#266,#084,3
267,#101,#003,#711,#698,#241,#775,#961,#692,#1199,#302,3
268,#1064,#517,#499,#151,#516,#395,#603,#698,#1272,#631,2
269,#1149,#450,#574,#881,#504,#1250,#075,#478,#349,#547,1
270,#403,#436,#552,#430,#236,#381,#951,#428,#240,#1061,5
271,#270,#347,#068,#1301,#1188,#688,#149,#1128,#1298,#334,2
272,#340,#894,#621,#834,#816,#624,#1167,#989,#599,#271,2
273,#146,#315,#346,#003,#195,#290,#828,#1242,#726,#436,2
274,#031,#036,#768,#018,#957,#256,#197,#503,#505,#102,2
275,#1281,#1140,#940,#1040,#200,#555,#652,#079,#1279,#1056,2
276,#894,#1285,#1240,#254,#749,#771,#941,#224,#223,#380,3
277,#525,#073,#298,#502,#1097,#527,#456,#526,#900,#887,3
278,#461,#1115,#1051,#1034,#1080,#385,#343,#043,#237,#045,1
279,#1116,#178,#725,#970,#078,#964,#864,#610,#065,#160,1
280,#1287,#167,#1229,#646,#900,#491,#676,#485,#382,#419,4
281,#338,#079,#204,#680,#514,#914,#760,#185,#150,#1123,3
282,#053,#600,#743,#356,#221,#185,#763,#573,#1077,#224,7
283,#967,#732,#088,#161,#013,#763,#057,#006,#1204,#1053,1
284,#601,#763,#484,#192,#747,#1257,#1075,#582,#355,#722,4
285,#709,#577,#994,#230,#159,#1184,#244,#553,#934,#792,2
286,#907,#305,#1089,#668,#1032,#609,#778,#732,#1244,#559,1
287,#715,#917,#1244,#933,#344,#570,#498,#478,#328,#505,4
288,#1074,#087,#700,#888,#1285,#1245,#1298,#398,#256,#1301,4
289,#1095,#832,#763,#253,#079,#511,#056,#587,#1231,#686,3
290,#389,#135,#806,#147,#052,#224,#022,#438,#019,#983,2
291,#178,#014,#437,#1213,#722,#071,#919,#951,#003,#405,3
292,#306,#1025,#992,#237,#307,#339,#1133,#467,#662,#1197,2
293,#1064,#676,#1103,#372,#050,#493,#230,#251,#1202,#400,1
294,#1242,#093,#558,#177,#545,#807,#715,#594,#296,#724,2
295,#1014,#663,#958,#1221,#168,#160,#1247,#1119,#1215,#249,3
296,#260,#359,#016,#256,#232,#1200,#092,#240,#928,#548,1
297,#1007,#207,#1137,#165,#818,#1120,#308,#1046,#1051,#333,1
298,#576,#385,#261,#281,#1262,#793,#087,#587,#491,#908,2
299,#950,#1090,#631,#448,#985,#018,#1121,#767,#728,#1242,2
300,#492,#392,#409,#837,#653,#298,#115,#073,#317,#627,3
301,#462,#378,#328,#1128,#1215,#1009,#1129,#756,#731,#1208,1
302,#575,#1286,#487,#339,#848,#591,#1136,#020,#877,#1006,3
303,#1284,#563,#693,#704,#478,#343,#394,#1133,#247,#246,3
304,#1282,#061,#985,#134,#614,#600,#992,#904,#168,#526,6
305,#916,#662,#033,#231,#795,#194,#1085,#842,#591,#1198,3
306,#552,#382,#1031,#177,#614,#1121,#1140,#1019,#470,#1145,5
307,#727,#138,#1030,#1111,#322,#755,#1029,#090,#1081,#017,3
308,#447,#605,#239,#600,#242,#1267,#121,#1023,#785,#085,2
309,#948,#842,#618,#1247,#174,#425,#350,#687,#1092,#893,3
310,#1108,#504,#968,#137,#724,#952,#438,#943,#456,#1075,4
311,#246,#972,#408,#156,#076,#1174,#268,#1138,#759,#591,2
312,#633,#1091,#262,#1117,#507,#519,#447,#120,#907,#1016,3
313,#489,#1154,#1216,#1219,#917,#1053,#1050,#1139,#055,#509,1
314,#079,#1185,#781,#686,#1300,#931,#221,#1100,#179,#453,2
315,#413,#410,#163,#1159,#134,#465,#455,#515,#823,#636,2
316,#401,#1110,#645,#1302,#302,#596,#450,#1226,#545,#407,3
317,#850,#666,#012,#1054,#1049,#260,#648,#746,#928,#981,2
318,#319,#770,#857,#1148,#495,#076,#232,#755,#471,#1051,2
319,#744,#558,#605,#079,#213,#1205,#828,#269,#509,#539,1
320,#133,#384,#437,#242,#636,#425,#776,#331,#799,#1218,1
321,#1240,#1241,#1229,#709,#1111,#1110,#178,#004,#056,#015,1
322,#315,#895,#293,#207,#1005,#670,#680,#168,#224,#942,2
323,#791,#110,#771,#475,#607,#797,#1300,#715,#096,#1014,2
324,#685,#006,#719,#803,#1278,#971,#1015,#958,#554,#502,3
325,#914,#518,#381,#1015,#453,#424,#408,#099,#530,#262,2
326,#285,#759,#837,#864,#681,#875,#1145,#1098,#189,#380,3
327,#813,#1234,#1267,#1223,#839,#341,#782,#1072,#902,#170,1
328,#226,#1260,#749,#795,#439,#951,#072,#010,#211,#760,4
329,#687,#215,#830,#003,#119,#759,#481,#529,#973,#292,4
330,#1259,#832,#880,#270,#291,#383,#1254,#453,#709,#362,1
331,#1223,#673,#666,#929,#625,#040,#955,#028,#823,#756,3
332,#976,#514,#1245,#867,#622,#234,#376,#603,#1251,#648,1
333,#018,#145,#1303,#940,#126,#667,#962,#785,#836,#1173,1
334,#184,#573,#185,#376,#991,#446,#1295,#511,#539,#587,1
335,#095,#1165,#1085,#779,#1044,#1021,#1206,#1131,#389,#444,3
336,#800,#372,#319,#1164,#1001,#667,#904,#1285,#558,#1039,2
337,#1128,#772,#689,#1260,#1017,#566,#028,#195,#728,#239,1
338,#426,#017,#987,#1103,#934,#241,#1118,#008,#515,#986,7
339,#1216,#1026,#029,#657,#1211,#750,#118,#419,#323,#932,1
340,#801,#600,#334,#611,#1232,#1292,#1271,#973,#1192,#430,2
341,#1190,#725,#595,#1042,#228,#657,#713,#607,#1007,#183,4
342,#509,#220,#901,#370,#603,#082,#845,#835,#274,#1043,1
343,#550,#836,#966,#524,#865,#921,#277,#1208,#766,#683,1
344,#273,#820,#1206,#498,#420,#675,#808,#1062,#647,#207,4
345,#497,#061,#536,#164,#1292,#1136,#521,#551,#818,#1138,4
346,#1075,#1173,#976,#253,#984,#1158,#418,#184,#1057,#454,3
347,#476,#755,#673,#590,#481,#586,#024,#196,#343,#278,3
348,#562,#866,#150,#900,#553,#829,#181,#1149,#085,#605,1
349,#1146,#029,#601,#986,#284,#679,#105,#379,#448,#937,2
350,#991,#1299,#1218,#1258,#378,#053,#256,#067,#1007,#499,1
351,#1020,#1134,#404,#1261,#249,#431,#962,#855,#918,#1126,2
352,#021,#719,#1225,#091,#796,#371,#112,#235,#138,#1286,2
353,#777,#545,#988,#1004,#1070,#404,#418,#1208,#785,#912,2
354,#520,#799,#821,#440,#639,#493,#1254,#190,#434,#278,3
355,#477,#449,#129,#777,#016,#338,#264,#717,#1139,#1194,2
356,#624,#099,#538,#292,#268,#169,#793,#683,#796,#1212,2
357,#1229,#220,#763,#041,#337,#1002,#247,#104,#274,#758,4
358,#542,#1100,#387,#897,#1116,#385,#036,#629,#1129,#358,6
359,#300,#1079,#187,#702,#997,#811,#1039,#577,#175,#472,3
360,#960,#942,#1200,#1275,#976,#491,#1249,#713,#501,#1062,2
361,#1039,#082,#283,#691,#471,#1130,#656,#517,#793,#1285,4
362,#1197,#782,#693,#384,#293,#1276,#913,#427,#034,#848,1
363,#914,#670,#509,#980,#939,#051,#1121,#649,#392,#476,3
364,#793,#322,#016,#814,#347,#008,#260,#177,#612,#218,2
365,#542,#158,#163,#122,#477,#098,#813,#630,#899,#039,1
366,#574,#1120,#101,#390,#649,#858,#1044,#936,#837,#1171,2
367,#039,#981,#786,#071,#1017,#530,#765,#132,#036,#1015,1
368,#1106,#457,#642,#322,#467,#587,#1079,#1062,#385,#022,4
369,#535,#952,#407,#1101,#1164,#652,#459,#598,#852,#673,2
370,#481,#232,#432,#214,#1132,#898,#183,#424,#735,#716,1
371,#632,#798,#788,#889,#1184,#118,#1037,#1260,#052,#100,4
372,#1145,#125,#1117,#964,#176,#790,#432,#1032,#216,#591,1
373,#323,#192,#427,#270,#167,#865,#218,#528,#1036,#409,1
374,#739,#1015,#181,#726,#1295,#015,#616,#294,#585,#333,2
375,#597,#129,#282,#369,#888,#264,#254,#821,#118,#036,2
376,#426,#598,#511,#606,#932,#920,#401,#746,#867,#563,4
377,#231,#436,#1054,#745,#234,#1146,#418,#777,#498,#044,2
378,#322,#1082,#996,#412,#425,#068,#798,#491,#1132,#538,1
379,#1068,#003,#957,#079,#489,#1121,#937,#939,#799,#449,1
380,#143,#518,#550,#552,#727,#307,#1210,#873,#1076,#978,3
381,#764,#858,#346,#339,#620,#832,#232,#187,#791,#953,1
382,#1008,#581,#072,#613,#766,#1195,#646,#1262,#236,#665,2
